GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,HOME_TEAM_WINS
2021-11-17,22100213,Hornets,Wizards,2021,97,0.438,0.5,0.313,30,59,1
2021-11-17,22100214,Pistons,Pacers,2021,97,0.425,0.75,0.286,16,42,1
2021-11-17,22100215,Hawks,Celtics,2021,110,0.506,0.833,0.351,28,40,1
2021-11-17,22100216,Nets,Cavaliers,2021,109,0.458,0.84,0.375,29,47,1
2021-11-17,22100217,Heat,Pelicans,2021,113,0.483,0.824,0.375,29,39,1
2021-11-17,22100218,Knicks,Magic,2021,98,0.42,0.667,0.327,25,45,0
2021-11-17,22100219,Bucks,Lakers,2021,109,0.46,0.708,0.324,22,52,1
2021-11-17,22100220,Timberwolves,Kings,2021,107,0.5,0.833,0.278,20,35,1
2021-11-17,22100221,Thunder,Rockets,2021,101,0.446,0.563,0.256,18,56,1
2021-11-17,22100222,Suns,Mavericks,2021,105,0.441,0.714,0.333,27,49,1
2021-11-17,22100223,Trail Blazers,Bulls,2021,112,0.44,0.964,0.355,26,44,1
2021-11-16,22100210,Nets,Warriors,2021,99,0.386,0.778,0.278,21,38,0
2021-11-16,22100211,Jazz,76ers,2021,120,0.517,0.632,0.421,27,56,1
2021-11-16,22100212,Clippers,Spurs,2021,106,0.435,0.909,0.316,16,52,1
2021-11-15,22100199,Cavaliers,Celtics,2021,92,0.386,0.75,0.4,18,42,0
2021-11-15,22100200,Pistons,Kings,2021,107,0.406,0.941,0.277,23,47,0
2021-11-15,22100201,Wizards,Pelicans,2021,105,0.464,0.68,0.357,23,42,1
2021-11-15,22100202,Hawks,Magic,2021,129,0.553,0.656,0.467,32,46,1
2021-11-15,22100203,Knicks,Pacers,2021,92,0.43,0.7,0.324,22,46,1
2021-11-15,22100204,Mavericks,Nuggets,2021,111,0.5,0.7,0.389,30,44,1
2021-11-15,22100205,Grizzlies,Rockets,2021,136,0.542,0.8,0.39,33,49,1
2021-11-15,22100206,Timberwolves,Suns,2021,96,0.365,0.778,0.295,18,54,0
2021-11-15,22100207,Thunder,Heat,2021,90,0.41,0.7,0.366,26,42,0
2021-11-15,22100208,Trail Blazers,Raptors,2021,118,0.561,0.714,0.444,25,39,1
2021-11-15,22100209,Lakers,Bulls,2021,103,0.456,0.806,0.188,19,43,0
2021-11-14,22100192,Lakers,Spurs,2021,114,0.518,0.765,0.484,28,46,1
2021-11-14,22100193,Hawks,Bucks,2021,120,0.485,0.846,0.429,21,51,1
2021-11-14,22100194,Hornets,Warriors,2021,106,0.477,0.667,0.389,23,39,1
2021-11-14,22100195,Rockets,Suns,2021,89,0.412,0.667,0.219,19,48,0
2021-11-14,22100196,Thunder,Nets,2021,96,0.4,0.909,0.311,20,44,0
2021-11-14,22100197,Nuggets,Trail Blazers,2021,124,0.522,0.786,0.475,29,49,1
2021-11-14,22100198,Clippers,Bulls,2021,90,0.358,1,0.324,16,44,0
2021-11-13,22100185,Jazz,Heat,2021,105,0.412,0.72,0.321,23,38,0
2021-11-13,22100186,Pacers,76ers,2021,118,0.573,0.667,0.5,33,37,1
2021-11-13,22100187,Magic,Wizards,2021,92,0.337,0.85,0.325,21,44,0
2021-11-13,22100188,Pelicans,Grizzlies,2021,112,0.481,0.88,0.483,29,37,1
2021-11-13,22100189,Raptors,Pistons,2021,121,0.506,0.645,0.382,21,39,0
2021-11-13,22100190,Cavaliers,Celtics,2021,91,0.383,0.864,0.263,17,39,1
2021-11-13,22100191,Clippers,Timberwolves,2021,129,0.535,0.778,0.4,35,57,1
2021-11-12,22100174,Hornets,Knicks,2021,104,0.433,0.667,0.278,25,49,1
2021-11-12,22100175,Celtics,Bucks,2021,122,0.49,0.889,0.293,22,53,1
2021-11-12,22100176,Cavaliers,Pistons,2021,98,0.476,0.667,0.341,27,40,1
2021-11-12,22100177,Rockets,Trail Blazers,2021,92,0.4,0.63,0.219,13,49,0
2021-11-12,22100178,Grizzlies,Suns,2021,94,0.378,0.565,0.212,19,59,0
2021-11-12,22100179,Pelicans,Nets,2021,112,0.489,0.813,0.406,26,43,0
2021-11-12,22100180,Thunder,Kings,2021,105,0.424,0.733,0.333,13,52,1
2021-11-12,22100181,Spurs,Mavericks,2021,109,0.488,0.7,0.433,30,41,0
2021-11-12,22100182,Nuggets,Hawks,2021,105,0.444,0.75,0.286,26,49,1
2021-11-12,22100183,Warriors,Bulls,2021,119,0.484,0.875,0.326,27,47,1
2021-11-12,22100184,Lakers,Timberwolves,2021,83,0.354,0.8,0.22,17,44,0
2021-11-11,22100171,76ers,Raptors,2021,109,0.455,0.947,0.324,29,39,0
2021-11-11,22100172,Jazz,Pacers,2021,100,0.47,0.565,0.281,22,37,0
2021-11-11,22100173,Clippers,Heat,2021,112,0.473,0.882,0.297,20,42,1
2021-11-10,22100158,Cavaliers,Wizards,2021,94,0.461,0.714,0.29,21,40,0
2021-11-10,22100159,Magic,Nets,2021,90,0.38,0.667,0.121,19,49,0
2021-11-10,22100160,Celtics,Raptors,2021,104,0.447,0.667,0.345,21,44,1
2021-11-10,22100161,Knicks,Bucks,2021,100,0.434,0.706,0.432,19,38,0
2021-11-10,22100162,Rockets,Pistons,2021,104,0.427,0.647,0.353,17,42,0
2021-11-10,22100163,Bulls,Mavericks,2021,117,0.506,0.857,0.484,26,46,1
2021-11-10,22100164,Grizzlies,Hornets,2021,108,0.421,0.6,0.237,27,57,0
2021-11-10,22100165,Pelicans,Thunder,2021,100,0.351,0.719,0.257,24,50,0
2021-11-10,22100166,Spurs,Kings,2021,136,0.533,0.645,0.563,34,43,1
2021-11-10,22100167,Nuggets,Pacers,2021,101,0.429,0.85,0.4,19,39,1
2021-11-10,22100168,Suns,Trail Blazers,2021,119,0.521,0.833,0.393,27,39,1
2021-11-10,22100169,Warriors,Timberwolves,2021,123,0.471,0.8,0.275,23,53,1
